#POI# 专有名
#Person# 人名
去 动词
想要 能愿动词
想 能愿动词
计划 能愿动词 名词
打算 能愿动词 名词
你好 动词
不是 动词
不对 动词
嗯 动词
抱抱 动词
了啦 叹词
唉呀 叹词
下礼拜 时间短语
第1条
第2条
第3条
。。 叹词
。。。 叹词
全家
可的
咖吧 名词
周围
#fruit# 名词
#poi# 名词 专有名 机构名
#road# 地名
#num# 数词
#name# 名词 机构名 专有名
#address# 地名 名词
#city# 地名
#poi# 名词
#per# 人名
#other# 名词
#district# 地名
#View# 名词
#SCALE# 数词
#方向# 方位词
#date# 时间短语
#songname# 专有名 名词
#channel# 名词
#text#
#action# 动词
#animal#
#attr#
#SINGER# 人名
#ABLUM# 专辑名
#TYPE#
#OUTGOODS#
#poi# 名词 专有名 机构名
#road# 地名
#num# 数词
#name# 名词 机构名 专有名
#address# 地名 名词
#city# 地名
#poi# 名词
#per# 人名
#other# 名词
#district# 地名
#View# 名词
#SCALE# 数词
#方向# 方位词
#date# 时间短语
#songname# 专有名 名词
#channel# 名词
#text#
#action# 动词
#stock# 机构名
#logomark#
bmw 专有名
BMW 专有名
nissan 专有名
NISSAN 专有名
锻炼 动词
股票 名词
股价 名词
香格里拉 地名
修车 动词
请问 动词
东方绿舟 名词
复兴公园 名词
超日 机构名
巴黎春天 机构名
音乐剧 名词
招行 机构名
江南 名词
冰雪皇后 机构名
邯郸路 地名
网吧 名词
酒吧 名词
新天地 地名
城隍庙 地名
东方绿舟 地名
好吃 形容词
家有好面 机构名
便利店 机构名
街舞 名词
民行 名词
李四 人名
必胜客 机构名
好呀 动词
