#<Dialogist>#	人名	实体名
#ABLUM#	专辑名
#OUTGOODS#	
#POI#	实体名
#Person#	人名
#SCALE#	数词
#SINGER#	人名
#TYPE#	
#View#	名词
#a#	地名
#action#	动词
#address#	名词	地名
#amuse:singer#	人名
#amuse:song#	实体名
#amuse:style#	实体名
#animal#	
#attr#	
#channel#	名词
#city#	地名
#d#	地名
#date#	时间短语
#dist#	数词
#district#	地名
#fruit#	名词
#logomark#	地名
#m#	地名
#name#	名词	实体名	机构名
#num#	数词
#other#	名词
#per#	人名
#poi#	名词	专有名	机构名
#radio:stationName#	专有名
#road#	地名
#s#	地名
#songname#	专有名	名词
#stock#	机构名
#text#	
#time#	时间短语
#unit#	量词
#wea#	地名
#方向#	方位词
*ST上控	机构名
*ST东热	机构名
*ST中冠A	机构名
*ST中冠B	机构名
*ST中华A	机构名
*ST中华B	机构名
*ST中基	机构名
*ST中达	机构名
*ST中钨	机构名
*ST九龙	机构名
*ST九龙B	机构名
*ST二重	机构名
*ST亚星	机构名
*ST兴业	机构名
*ST凤凰	机构名
*ST北生	机构名
*ST北磁	机构名
*ST南化	机构名
*ST国发	机构名
*ST国商	机构名
*ST国商B	机构名
*ST国恒	机构名
*ST国药	机构名
*ST国通	机构名
*ST大地	机构名
*ST天一	机构名
*ST天龙	机构名
*ST太光	机构名
*ST宝硕	机构名
*ST广夏	机构名
*ST建摩B	机构名
*ST彩虹	机构名
*ST思达	机构名
*ST成霖	机构名
*ST景谷	机构名
*ST株冶	机构名
*ST武锅B	机构名
*ST河化	机构名
*ST济柴	机构名
*ST海龙	机构名
*ST珠江	机构名
*ST珠江B	机构名
*ST生化	机构名
*ST祥龙	机构名
*ST科健	机构名
*ST美利	机构名
*ST联华	机构名
*ST联华B	机构名
*ST联合	机构名
*ST西仪	机构名
*ST贤成	机构名
*ST超日	机构名
*ST远东	机构名
*ST远洋	机构名
*ST鞍钢	机构名
*ST韶钢	机构名
*ST黄海	机构名
*ST黑豹	机构名
0501R007	机构名
0501R028	机构名
0501R091	机构名
0504R007	机构名
0504R028	机构名
0504R091	机构名
0512R007	机构名
0512R028	机构名
0512R091	机构名
0603R007	机构名
0603R028	机构名
0603R091	机构名
180ETF	机构名
180EWETF	机构名
300ETF	机构名
380ETF	机构名
500沪市	机构名
50ETF	机构名
50等权	机构名
BMW	专有名
GC001	机构名
GC002	机构名
GC003	机构名
GC004	机构名
GC007	机构名
GC014	机构名
GC028	机构名
GC091	机构名
GC182	机构名
H股ETF	机构名
K歌	动词
NISSAN	专有名
R-001	机构名
R-002	机构名
R-003	机构名
R-004	机构名
R-007	机构名
R-014	机构名
R-028	机构名
R-091	机构名
R-182	机构名
R001	机构名
R002	机构名
R003	机构名
R004	机构名
R007	机构名
R014	机构名
R028	机构名
R091	机构名
R182	机构名
RC001	机构名
RC003	机构名
RC007	机构名
S*ST华塑	机构名
SST华新	机构名
ST传媒	机构名
ST宏盛	机构名
ST宜纸	机构名
ST明科	机构名
ST澄海	机构名
ST狮头	机构名
S上石化	机构名
S中纺机	机构名
S仪化	机构名
S佳通	机构名
S前锋	机构名
S舜元	机构名
TCL集团	机构名
XD上海能	机构名
XD六国化	机构名
XD冠农股	机构名
XD力帆股	机构名
XD外运发	机构名
XD宏昌电	机构名
XD平煤股	机构名
XD弘业股	机构名
XD新华龙	机构名
XD营口港	机构名
XD金鹰股	机构名
XR大智慧	机构名
bmw	专有名
nissan	专有名
。。	叹词
。。。	叹词
一天以后	时间短语
一拖股份	机构名
一汽夏利	机构名
一汽富维	机构名
一汽轿车	机构名
一致B	机构名
七匹狼	机构名
七喜控股	机构名
七星电子	机构名
万业企业	机构名
万丰奥威	机构名
万力达	机构名
万华化学	机构名
万向德农	机构名
万向钱潮	机构名
万和电气	机构名
万好万家	机构名
万安科技	机构名
万家乐	机构名
万家公用	机构名
万家创A	机构名
万家创B	机构名
万家利B	机构名
万方发展	机构名
万昌科技	机构名
万泽股份	机构名
万润科技	机构名
万福生科	机构名
万科A	机构名
万科B	机构名
万讯自控	机构名
万达信息	机构名
万通地产	机构名
万邦达	机构名
万里扬	机构名
万里股份	机构名
万顺股份	机构名
万马电缆	机构名
万鸿集团	机构名
三一重工	机构名
三丰智能	机构名
三五互联	机构名
三元股份	机构名
三元达	机构名
三全食品	机构名
三六五网	机构名
三力士	机构名
三友化工	机构名
三变科技	机构名
三安光电	机构名
三峡新材	机构名
三峡水利	机构名
三川股份	机构名
三房巷	机构名
三星电气	机构名
三普药业	机构名
三木集团	机构名
三毛B股	机构名
三毛派神	机构名
三江购物	机构名
三泰电子	机构名
三湘股份	机构名
三爱富	机构名
三特索道	机构名
三精制药	机构名
三维丝	机构名
三维工程	机构名
三维通信	机构名
三联商社	机构名
三聚环保	机构名
三诺生物	机构名
三钢闽光	机构名
上实发展	机构名
上峰水泥	机构名
上工B股	机构名
上工申贝	机构名
上柴B股	机构名
上柴股份	机构名
上汽集团	机构名
上海三毛	机构名
上海九百	机构名
上海佳豪	机构名
上海凯宝	机构名
上海医药	机构名
上海家化	机构名
上海建工	机构名
上海新梅	机构名
上海新阳	机构名
上海普天	机构名
上海机场	机构名
上海机电	机构名
上海物贸	机构名
上海电力	机构名
上海电气	机构名
上海科技	机构名
上海绿新	机构名
上海莱士	机构名
上海贝岭	机构名
上海辅仁	机构名
上海钢联	机构名
上港集团	机构名
上风高科	机构名
下周	时间短语
下礼拜	时间短语
不对	动词
不是	动词
世纪华通	机构名
世纪星源	机构名
世纪游轮	机构名
世纪瑞尔	机构名
世纪鼎利	机构名
世联地产	机构名
世茂股份	机构名
世荣兆业	机构名
东信B股	机构名
东信和平	机构名
东光微电	机构名
东凌粮油	机构名
东力传动	机构名
东北制药	机构名
东北电气	机构名
东北证券	机构名
东华实业	机构名
东华测试	机构名
东华科技	机构名
东华能源	机构名
东华软件	机构名
东南网架	机构名
东吴证券	机构名
东土科技	机构名
东安动力	机构名
东宝生物	机构名
东富龙	机构名
东山精密	机构名
东方创业	机构名
东方园林	机构名
东方国信	机构名
东方宾馆	机构名
东方市场	机构名
东方日升	机构名
东方明珠	机构名
东方海洋	机构名
东方电子	机构名
东方电气	机构名
东方电热	机构名
东方精工	机构名
东方绿舟	名词
东方航空	机构名
东方财富	机构名
东方通信	机构名
东方金钰	机构名
东方钽业	机构名
东方铁塔	机构名
东方银星	机构名
东方锆业	机构名
东方集团	机构名
东方雨虹	机构名
东晶电子	机构名
东材科技	机构名
东江环保	机构名
东港股份	机构名
东湖高新	机构名
东源电器	机构名
东电B股	机构名
东百集团	机构名
东盛科技	机构名
东睦股份	机构名
东莞控股	机构名
东诚生化	机构名
东贝B股	机构名
东软载波	机构名
东软集团	机构名
东阳光铝	机构名
东阿阿胶	机构名
东风汽车	机构名
东风科技	机构名
东风股份	机构名
两面针	机构名
中京电子	机构名
中体产业	机构名
中信国安	机构名
中信海直	机构名
中信证券	机构名
中信重工	机构名
中信银行	机构名
中储股份	机构名
中元华电	机构名
中关村	机构名
中兴商业	机构名
中兴通讯	机构名
中农资源	机构名
中创400	机构名
中创信测	机构名
中利科技	机构名
中化国际	机构名
中化岩土	机构名
中华企业	机构名
中南传媒	机构名
中南建设	机构名
中南重工	机构名
中原内配	机构名
中原特钢	机构名
中原环保	机构名
中原高速	机构名
中发科技	机构名
中国一重	机构名
中国中冶	机构名
中国中期	机构名
中国中铁	机构名
中国交建	机构名
中国人寿	机构名
中国化学	机构名
中国北车	机构名
中国医药	机构名
中国南车	机构名
中国卫星	机构名
中国嘉陵	机构名
中国国旅	机构名
中国国航	机构名
中国国贸	机构名
中国太保	机构名
中国宝安	机构名
中国平安	机构名
中国建筑	机构名
中国服装	机构名
中国武夷	机构名
中国水电	机构名
中国汽研	机构名
中国海诚	机构名
中国玻纤	机构名
中国石化	机构名
中国石油	机构名
中国神华	机构名
中国联通	机构名
中国船舶	机构名
中国西电	机构名
中国软件	机构名
中国重工	机构名
中国重汽	机构名
中国铁建	机构名
中国铝业	机构名
中国银行	机构名
中国高科	机构名
中天城投	机构名
中天科技	机构名
中威电子	机构名
中孚实业	机构名
中小300	机构名
中小ETF	机构名
中小成长	机构名
中小板	机构名
中小板A	机构名
中小板B	机构名
中小等权	机构名
中山公用	机构名
中工国际	机构名
中弘股份	机构名
中恒电气	机构名
中恒集团	机构名
中成股份	机构名
中房地产	机构名
中房股份	机构名
中捷股份	机构名
中文传媒	机构名
中新药业	机构名
中昌海运	机构名
中材国际	机构名
中材科技	机构名
中核科技	机构名
中核钛白	机构名
中欧300	机构名
中欧小盘	机构名
中欧强债	机构名
中欧趋势	机构名
中水渔业	机构名
中江地产	机构名
中泰化学	机构名
中泰桥梁	机构名
中海发展	机构名
中海油服	机构名
中海海盛	机构名
中海科技	机构名
中海达	机构名
中海集运	机构名
中润资源	机构名
中源协和	机构名
中炬高新	机构名
中煤能源	机构名
中牧股份	机构名
中环股份	机构名
中珠控股	机构名
中瑞思创	机构名
中电广通	机构名
中电环保	机构名
中百集团	机构名
中盘ETF	机构名
中福实业	机构名
中科三环	机构名
中科合臣	机构名
中科电气	机构名
中科英华	机构名
中科金财	机构名
中粮地产	机构名
中粮屯河	机构名
中粮生化	机构名
中纺B股	机构名
中纺投资	机构名
中联电气	机构名
中联重科	机构名
中能电气	机构名
中航三鑫	机构名
中航光电	机构名
中航动控	机构名
中航地产	机构名
中航投资	机构名
中航电子	机构名
中航电测	机构名
中航精机	机构名
中航重机	机构名
中航飞机	机构名
中船股份	机构名
中色股份	机构名
中茵股份	机构名
中葡股份	机构名
中视传媒	机构名
中超电缆	机构名
中路B股	机构名
中路股份	机构名
中远航运	机构名
中通客车	机构名
中金岭南	机构名
中金黄金	机构名
中钢吉炭	机构名
中钢天源	机构名
中铁二局	机构名
中银300E	机构名
中银中国	机构名
中银信用	机构名
中银绒业	机构名
中际装备	机构名
中集集团	机构名
中青宝	机构名
中青旅	机构名
中顺洁柔	机构名
中颖电子	机构名
中鲁B	机构名
中鼎股份	机构名
丰东股份	机构名
丰乐种业	机构名
丰利B	机构名
丰华股份	机构名
丰原药业	机构名
丰林集团	机构名
丰泽B	机构名
丹化科技	机构名
丹甫股份	机构名
丹科B股	机构名
丹邦科技	机构名
丽江旅游	机构名
丽珠B	机构名
丽珠集团	机构名
丽鹏股份	机构名
久兆积极	机构名
久兆稳健	机构名
久其软件	机构名
久立特材	机构名
久联发展	机构名
乐凯胶片	机构名
乐山电力	机构名
乐普医疗	机构名
乐视网	机构名
乐通股份	机构名
乔治白	机构名
九九久	机构名
九安医疗	机构名
九州通	机构名
九洲电气	机构名
九牧王	机构名
九芝堂	机构名
九阳股份	机构名
九鼎新材	机构名
九龙电力	机构名
了啦	叹词
二六三	机构名
云内动力	机构名
云南城投	机构名
云南旅游	机构名
云南白药	机构名
云南盐化	机构名
云南铜业	机构名
云南锗业	机构名
云天化	机构名
云意电气	机构名
云海金属	机构名
云煤能源	机构名
云维股份	机构名
云铝股份	机构名
互利A	机构名
互利B	机构名
五洲交通	机构名
五矿发展	机构名
五矿稀土	机构名
五粮液	机构名
亚厦股份	机构名
亚夏汽车	机构名
亚太实业	机构名
亚太科技	机构名
亚太股份	机构名
亚太药业	机构名
亚威股份	机构名
亚宝药业	机构名
亚星客车	机构名
亚星锚链	机构名
亚泰集团	机构名
亚玛顿	机构名
亚盛集团	机构名
亚通股份	机构名
交大昂立	机构名
交运股份	机构名
交通银行	机构名
交银添利	机构名
亨通光电	机构名
京东方A	机构名
京东方B	机构名
京威股份	机构名
京山轻机	机构名
京投银泰	机构名
京新药业	机构名
京能热电	机构名
京能置业	机构名
京运通	机构名
人人乐	机构名
人民网	机构名
人福医药	机构名
亿利能源	机构名
亿利达	机构名
亿城股份	机构名
亿晶光电	机构名
亿纬锂能	机构名
亿通科技	机构名
亿阳信通	机构名
仁和药业	机构名
仁智油服	机构名
今天	时间短语
仙琚制药	机构名
仟源制药	机构名
以岭药业	机构名
仪电B股	机构名
仪电电子	机构名
价值ETF	机构名
任子行	机构名
伊利股份	机构名
伊力特	机构名
伊泰B股	机构名
伊立浦	机构名
众业达	机构名
众合机电	机构名
众和股份	机构名
众生药业	机构名
优选LOF	机构名
伟星新材	机构名
伟星股份	机构名
传化股份	机构名
佐力药业	机构名
佛塑科技	机构名
佛山照明	机构名
佛慈制药	机构名
你好	动词
佰利联	机构名
佳创视讯	机构名
佳士科技	机构名
佳电股份	机构名
佳讯飞鸿	机构名
佳都新太	机构名
佳隆股份	机构名
依米康	机构名
保利地产	机构名
保税科技	机构名
保龄宝	机构名
信立泰	机构名
信维通信	机构名
信诚300A	机构名
信诚300B	机构名
信诚500A	机构名
信诚500B	机构名
信诚周期	机构名
信诚增强	机构名
信诚深度	机构名
信质电机	机构名
信达利B	机构名
信达地产	机构名
信邦制药	机构名
信隆实业	机构名
信雅达	机构名
修车	动词
健康元	机构名
元力股份	机构名
兄弟科技	机构名
兆日科技	机构名
兆驰股份	机构名
先河环保	机构名
先锋新材	机构名
光一科技	机构名
光华控股	机构名
光大证券	机构名
光大银行	机构名
光明乳业	机构名
光正钢构	机构名
光电股份	机构名
光线传媒	机构名
光迅科技	机构名
光韵达	机构名
克明面业	机构名
兔宝宝	机构名
兖州煤业	机构名
全家	
全柴动力	机构名
全聚德	机构名
八一钢铁	机构名
八菱科技	机构名
兰太实业	机构名
兰州民百	机构名
兰州黄河	机构名
兰生股份	机构名
兰花科创	机构名
共达电声	机构名
兴业矿业	机构名
兴业科技	机构名
兴业证券	机构名
兴业银行	机构名
兴全300	机构名
兴全趋势	机构名
兴全轻资	机构名
兴化股份	机构名
兴发集团	机构名
兴森科技	机构名
兴民钢圈	机构名
兴源过滤	机构名
兴蓉投资	机构名
冀东水泥	机构名
冀东装备	机构名
冀中能源	机构名
内蒙华电	机构名
内蒙君正	机构名
农业银行	机构名
农产品	机构名
冠城大通	机构名
冠昊生物	机构名
冠福家用	机构名
冠豪高新	机构名
准油股份	机构名
凌云B股	机构名
凌云股份	机构名
凌钢股份	机构名
凤凰传媒	机构名
凤凰光学	机构名
凤凰股份	机构名
凤竹纺织	机构名
凯乐科技	机构名
凯利泰	机构名
凯恩股份	机构名
凯撒股份	机构名
凯美特气	机构名
凯诺科技	机构名
凯迪电力	机构名
凯马B	机构名
出版传媒	机构名
刚泰控股	机构名
创业板	机构名
创业环保	机构名
创元科技	机构名
创兴资源	机构名
初灵信息	机构名
利亚德	机构名
利君股份	机构名
利尔化学	机构名
利德曼	机构名
利欧股份	机构名
利源铝业	机构名
利达光电	机构名
利鑫B	机构名
力合股份	机构名
力源信息	机构名
力生制药	机构名
加加食品	机构名
动力源	机构名
劲嘉股份	机构名
劲胜股份	机构名
勐狮科技	机构名
勤上光电	机构名
包钢稀土	机构名
包钢股份	机构名
北京利尔	机构名
北京君正	机构名
北京城乡	机构名
北京城建	机构名
北京旅游	机构名
北京科锐	机构名
北京银行	机构名
北人股份	机构名
北信源	机构名
北化股份	机构名
北大医药	机构名
北大荒	机构名
北巴传媒	机构名
北斗星通	机构名
北新建材	机构名
北新路桥	机构名
北方创业	机构名
北方国际	机构名
北方导航	机构名
北方股份	机构名
北海港	机构名
北玻股份	机构名
北纬通信	机构名
北辰实业	机构名
北陆药业	机构名
千山药机	机构名
千红制药	机构名
千足珍珠	机构名
千金药业	机构名
升华拜克	机构名
升达林业	机构名
华业地产	机构名
华东医药	机构名
华东数控	机构名
华东电脑	机构名
华东科技	机构名
华东重机	机构名
华中数控	机构名
华丽家族	机构名
华仁药业	机构名
华仪电气	机构名
华伍股份	机构名
华侨城A	机构名
华光股份	机构名
华兰生物	机构名
华力创通	机构名
华北制药	机构名
华北高速	机构名
华升股份	机构名
华发股份	机构名
华商500A	机构名
华商500B	机构名
华域汽车	机构名
华声股份	机构名
华夏幸福	机构名
华夏蓝筹	机构名
华夏行业	机构名
华夏银行	机构名
华天科技	机构名
华天酒店	机构名
华孚色纺	机构名
华宇软件	机构名
华安300A	机构名
华安300B	机构名
华宏科技	机构名
华宝油气	机构名
华富强债	机构名
华峰氨纶	机构名
华峰超纤	机构名
华工科技	机构名
华帝股份	机构名
华平股份	机构名
华录百纳	机构名
华微电子	机构名
华意压缩	机构名
华控赛格	机构名
华数传媒	机构名
华斯股份	机构名
华新B股	机构名
华新水泥	机构名
华昌化工	机构名
华昌达	机构名
华星创业	机构名
华星化工	机构名
华映科技	机构名
华智控股	机构名
华泰股份	机构名
华泰证券	机构名
华测检测	机构名
华海药业	机构名
华润万东	机构名
华润三九	机构名
华润双鹤	机构名
华润锦华	机构名
华灿光电	机构名
华电B股	机构名
华电国际	机构名
华电能源	机构名
华神集团	机构名
华策影视	机构名
华纺股份	机构名
华联控股	机构名
华联矿业	机构名
华联综超	机构名
华联股份	机构名
华胜天成	机构名
华能国际	机构名
华芳纺织	机构名
华英农业	机构名
